Array Design Name	Affymetrix GeneChip Human Genome HG-U133A [HG-U133A]
Comment[AdditionalFile:CDF]	HG-U133A.CDF
Comment[AdditionalFile:CDF]	HG-U133A.cdf
Version	1.0
Provider	Affymetrix, Inc. (support@affymetrix.com)
Comment[ArrayExpressAccession]	A-AFFY-33
Comment[SubmittedName]	Affymetrix GeneChip Human Genome HG-U133A [HG-U133A]
Technology Type	in_situ_oligo_features
Technology Type Term Accession Number	http://mged.sourceforge.net/ontologies/MGEDOntology.daml#in_situ_oligo_features
Technology Type Term Source REF	mo:1.1.3
Surface Type	glass
Term Source Name	mo:1.1.3	affymetrix_netaffx	blocks	cp450	ec	embl	ensembl	genbank	gpcrdb	interpro	kegg	locus	omim	pfam	pkr_hanks	refseq	scop	swall	unigene
Term Source File	http://mged.sourceforge.net/ontologies/MGEDontology.php	http://www.affymetrix.com/analysis/	http://www.blocks.fhcrc.org/	http://drnelson.utmem.edu/CytochromeP450.html	http://www.chem.qmw.ac.uk/iubmb/enzyme/	http://www.ebi.ac.uk/embl/	http://www.ensembl.org	http://www.ncbi.nlm.nih.gov/Genbank/index.html	http://www.gpcr.org/	http://www.ebi.ac.uk/interpro	http://www.genome.ad.jp/kegg/	http://www.ncbi.nlm.nih.gov/LocusLink/	http://www3.ncbi.nlm.nih.gov/omim	http://www.sanger.ac.uk/Software/Pfam/	http://pkr.sdsc.edu/html/pk_classification/pk_catalytic/pk_hanks_class.html	http://www.ncbi.nlm.nih.gov/LocusLink/refseq.html	http://scop.berkeley.edu	http://www.ebi.ac.uk/swissprot/access.html	http://www.ncbi.nlm.nih.gov/UniGene/
Term Source Version	1.1.3																	
Comment[AdditionalFile:txt]	A-AFFY-33_comments.txt

[main]
Composite Element Name	Composite Element Database Entry[embl]	Composite Element Database Entry[affymetrix_netaffx]	Composite Element Database Entry[blocks]	Composite Element Database Entry[interpro]	Composite Element Database Entry[locus]	Composite Element Database Entry[ensembl]	Composite Element Database Entry[swall]	Composite Element Database Entry[unigene]	Composite Element Database Entry[genbank]	Composite Element Database Entry[omim]	Composite Element Database Entry[pfam]	Composite Element Database Entry[refseq]	Composite Element Database Entry[scop]	Composite Element Database Entry[ec]	Composite Element Database Entry[kegg]	Composite Element Database Entry[pkr_hanks]	Composite Element Database Entry[cp450]	Composite Element Database Entry[gpcrdb]
202247_s_at	BE561596	aa562673_g_at	IPB000679	IPR000949	9112		Q9Z0N8	Hs.101448	22478874	603526	BAH	NM_004689						
202248_at	BC000110.1	Msa.17825.0_s_at	IPB003316	IPR003316	1874	ENSG00000102887	Q96G07	Hs.108371	1061146		E2F_TDP	NM_001950	d1cf7a_					
202249_s_at	AU146233	rc_AA874877_r_at	PR00319	IPR001680	50717	ENSG00000132716	Q96E00	Hs.110707			WD40	NM_015726						
202250_s_at		1434134_at	PR00319	IPR001680	50717	ENSG00000132716	Q12839	Hs.110707			WD40	NM_015726						
202251_at		1439562_at		IPR002483	9129	ENSG00000117360	O43446	Hs.11776	13905000		PWI	NM_004698						
202252_at		1388140_at	IPB000795	IPR005225	5872	ENSG00000143545	Q9DD03	Hs.151536	14328017		ras	NM_002870	d1g16a_					
202253_s_at		rc_AA891729_at	IPB001401	IPR003130	1785	ENSG00000079805	Q9NQ68	Hs.167013	1363934		PH	NM_004945	d1dyna_					
202254_at	AB007900.1	1434222_at	IPB000331	IPR001478	26037	ENSG00000133986	O43166	Hs.172180	20521053		PDZ	NM_015556						
202255_s_at		AF026504_at	IPB000331	IPR001478	26037	ENSG00000133986	Q9UDU4	Hs.172180	20521053		PDZ	NM_015556						
202256_at	BF793888	202256_at		IPR003169	10421		O95400	Hs.202677	17505208	604470	GYF	NM_006110	d1gyfa_					
202257_s_at		202257_s_at		IPR003169	10421		Q9CWK3	Hs.202677	17505208		GYF	NM_006110	d1gyfa_					
202258_s_at	U50532.1	202258_s_at	IPB000062		10443	ENSG00000139617	O43712	Hs.23518	22726235			NM_014887		3.1.4.37				
202259_s_at		202259_s_at	IPB000062		10443	ENSG00000139617	O43712	Hs.23518	22726235			NM_014887		3.1.4.37				
202260_s_at		rc_AI102468_at	IPB001619	IPR001619	6812	ENSG00000136854	STB1_HUMAN	Hs.239356	4507297		Sec1	NM_003165	d1dn1a_					
202261_at		D43643_s_at			6944	ENSG00000163159	Q15906	Hs.2430	5174715			NM_005997						
202262_x_at		AF004106_s_at			23564	ENSG00000111980	O95865	Hs.247362	20348312		Amidinotransf	NM_013974	d1h70a_	3.5.3.18				
202263_at		1424048_a_at	PR00409	IPR001221	51706	ENSG00000159348	O95329	Hs.289113	14735899		FAD_binding_6	NM_016243	d1ndh_1	1.8.3.1				
202264_s_at		202264_s_at	PR00211		10452		Q8WY10	Hs.30928	13623595			NM_006114						
202265_at		202265_at	IPB003649	IPR001841	648	ENSG00000168283	BMI1_HUMAN	Hs.380403	20470908		zf-C3HC4	NM_005180						
202266_at		rc_AA901317_at	IPB000097	IPR005135	51567	ENSG00000111802	Q9NUK5	Hs.46847	20555898		Exo_endo_phos	NM_016614						
202267_at		U43327_s_at	PR00010	IPR005805	3918	ENSG00000058085	LMG2_MOUSE	Hs.54451	5031847		laminin_B	NM_005562.1	d1klo_1					
202268_s_at		rc_AI101010_at		IPR000594	8883	ENSG00000159593	Q13564	Hs.61828	21450341		ThiF	NM_003905						
202269_x_at	BC002666.1	202269_x_at	IPB003191	IPR003191	2633	ENSG00000174878	Q9Z0E6	Hs.62661	10835531		GBP	NM_002053	d1f5na2					
202270_at		202270_at	IPB003191	IPR003191	2633	ENSG00000174878	P32455	Hs.62661	10835531		GBP	NM_002053	d1f5na2					
202271_at	AB007952.1	rc_AI234149_at		IPR001810	23219		Q9NVF7	Hs.64691	20832453		F-box	NM_015176						
202272_s_at		202272_s_at		IPR001810	23219		O75070	Hs.64691	20832453		F-box	NM_015176						
202273_at		rc_AI072711_at	IPB003306	IPR003600	5159	ENSG00000113721	Q60515	Hs.76144	189730		ig	NM_002609	d1fgka_	2.7.1.37		PDGFR-b		
202274_at		u20365_f_at	IPB004000	IPR004001	72	ENSG00000163017	Q9V9J4	Hs.378774			actin	NM_001615	d1j6za1					
202275_at		202275_at	IPB001282	IPR001282	2539	ENSG00000160211	G6PD_RAT	Hs.80206	1070433		G6PD	NM_000402	d1qkia1	3.1.1.31	MAP00480			
202276_at		Msa.1905.0_f_at			7979		DSS1_HUMAN	Hs.333495	21293968			NM_006304						
202277_at	AL568804	202277_at					Q96IX6	Hs.377910										
202278_s_at		rc_AI639506_at	IPB001917	IPR004839	10558	ENSG00000090054	LCB1_MOUSE	Hs.90458			aminotran_1_2	NM_006415	d1fc4a_	4.1.2.5				
202279_at		rc_AI072389_at			9556	ENSG00000156411	68MP_HUMAN	Hs.109052	112834			NM_004894						
202280_at	D88435.1	162700_at	IPB003605	IPR003975	2580		Q9BVY6	Hs.153227	17375734		DnaJ	NM_005255		3.1.3.48		GCN2		
202281_at		D38560_at	IPB003605	IPR003975	2580		O14976	Hs.153227	17375734		DnaJ	NM_005255		3.1.3.48		GCN2		
202282_at		rc_AI234258_f_at	IPB003030	IPR002198	3028	ENSG00000072506	Q9DCX5	Hs.171280	14250516		adh_short	NM_004493	d1e6wa_	1.3.1.19				
202283_at		202283_at	IPB000215	IPR000215	5176	ENSG00000132386	Q9BWA4	Hs.173594	20178323		serpin	NM_002615	d1imva_					
202284_s_at		w82380_s_at	IPB003175	IPR003175	1026	ENSG00000124762	Q96LE1	Hs.179665	11386203		CDI	NM_000389						
202285_s_at	J04152	aa038322_s_at	IPB000716	IPR004367	4070	ENSG00000134728	TTD2_HUMAN	Hs.23582	1346075		thyroglobulin_1	NM_002353						
202286_s_at	J04152	103648_at	IPB000716	IPR004367	4070	ENSG00000134728	P09758	Hs.23582	1346075	137290	thyroglobulin_1	NM_002353						
202287_s_at		aa038322_s_at	IPB000716	IPR004367	4070	ENSG00000134728	Q9H014	Hs.23582	1346075		thyroglobulin_1	NM_002353						
202288_at	U88966.1	1436267_a_at	IPB003113	IPR000357	2475	ENSG00000083420	Q96QG3	Hs.338207	4826730		FAT	NM_004958	d3fapb_	2.7.1.137				
202289_s_at		100363_at		IPR002965	10579		Q8WVR1	Hs.272023	10946618			NM_006997						
202290_at		U26541_at			11333	ENSG00000106244	O88774	Hs.278426	12018258			NM_014891						
202291_s_at		160119_at	IPB000294	IPR002384	4256	ENSG00000111341	MGP_HUMAN	Hs.404077	4505179		gla	NM_000900						
202292_x_at		rc_AI229853_at	IPB002168	IPR003140	11313	ENSG00000011009	O95372	Hs.283655	7242156		abhydrolase_2	NM_007260	d1fj2a_	3.1.1.5	MAP00580			
202293_at	NM_005862.1	92478_at		IPR005032	10274	ENSG00000118007	Q9H1N8	Hs.286148	5032063		STAG	NM_005862						
202294_at	NM_005862.1	1421940_at		IPR005032	10274	ENSG00000118007	Q8WVM7	Hs.286148	5032063		STAG	NM_005862						
202295_s_at		94834_at	PR00705	IPR000668	1512	ENSG00000103811	Q9BUM7	Hs.288181	16506815		Peptidase_C1	NM_004390.1	d8pcha_	3.4.22.16				
202296_s_at		1373756_at		IPR004932	11079	ENSG00000157916	Q9P0H9	Hs.40500	19923787		Rer1	NM_007033						
202297_s_at	AF157324.1	w34451_s_at		IPR004932	11079	ENSG00000157916	YAF8_CAEEL	Hs.40500	19923787		Rer1	NM_007033						
202298_at		1373368_at			4694	ENSG00000125356	NIMM_MOUSE	Hs.74823	20271121			NM_004541		1.6.5.3	MAP00130			
202299_s_at		Msa.3679.0_s_at			10542	ENSG00000134248	Q9D1L9	Hs.433355	20875199			NM_006402						
202300_at		Msa.3679.0_s_at			10542	ENSG00000134248	O43504	Hs.433355	20875199			NM_006402						
202301_s_at	BE396879	110357_at			65117	ENSG00000111011	Q9H864	Hs.81648	20552694			NM_023012						
202302_s_at		1397515_at			65117	ENSG00000111011	Q9CW29	Hs.81648	12711678			NM_023012						
202303_x_at		1424206_at	IPB002464	IPR001005	8467	ENSG00000153147	Q925M9	Hs.9456	21071058		SNF2_N	NM_003601						
202304_at		202304_at		IPR003961	22862	ENSG00000102531	Q9H1W1	Hs.103329				NM_014923.1						
202305_s_at	AI685892	rc_AI170967_at	IPB001801		9637		Q13412	Hs.103419	20901138	604826		NM_005102						
202306_at		169807_r_at		IPR003029	5436	ENSG00000168002	P52433	Hs.14839	24647020		RNA_pol_Rpb7_N	NM_002696	d1go3e_	2.7.7.6	MAP03020			
202307_s_at		rc_AI178629_s_at	IPB000897	IPR005293	5696	ENSG00000168396	TAP1_HUMAN	Hs.180062	4758970		ABC_membrane	NM_000593.2	d1pmab_	3.4.25.1				
202308_at		202308_at	IPB001359	IPR002965	6720	ENSG00000072310	SRE1_HUMAN	Hs.166	22547195		HLH	NM_004176						
202309_at		J05519_at	IPB000672	IPR000672	4522	ENSG00000100714	Q9UM23	Hs.172665	115206		FTHFS	NM_005956	d1a4ia1	6.3.4.3	MAP00790			
202310_s_at	NM_000088.1	Z78279_g_at	IPB001442	IPR001007	1277	ENSG00000108821	Q8N473	Hs.172928	115269		COLFI	NM_000088						
202311_s_at	NM_000088.1	202311_s_at					Q63074	Hs.434012										
202312_s_at		u08020_f_at	IPB001442	IPR001007	1277	ENSG00000108821	Q13896	Hs.172928	115269		Collagen	NM_000088						
202313_at		rc_AI228112_s_at	IPB000009	IPR001680	5520	ENSG00000104762	2ABA_HUMAN	Hs.179574	16758910		WD40	NM_002717						
202314_at		1422534_at	IPB001128	IPR002403	1595	ENSG00000001630	Q16850	Hs.226213	21619563		p450	NM_000786	d1jpza_	5.3.99.4	MAP00380		Q64654	
202315_s_at		202315_s_at	IPB001331	IPR001849	613	ENSG00000169364	Q13746	Hs.234799	11038639		C2	NM_004327	d2ngrb_					
202316_x_at	AW241715	1448410_at	IPB001359	IPR006162	10277	ENSG00000130939	Q9BYI7	Hs.24594	5174483			NM_006048						
202317_s_at		1448410_at	IPB001359	IPR006162	10277	ENSG00000130939	Q96QD4	Hs.24594	5174483			NM_006048						
202318_s_at	AF306508.1	aa690695_s_at		IPR003653	26054	ENSG00000112701	SEN6_HUMAN	Hs.27197	17380330		Peptidase_C48	NM_015571	d1euva_					
202319_at		aa690695_s_at		IPR003653	26054	ENSG00000112701	Q9UJV5	Hs.27197	17380330		Peptidase_C48	NM_015571	d1euva_					
202320_at		R75469_rc_s_at		IPR001005	2975	ENSG00000077235	Q12789	Hs.331	2342740			NM_001520						
202321_at	AW299507	C79210_rc_s_at	IPB000092	IPR000092	9453	ENSG00000152904	Q8WUS3	Hs.55498	4758430	606982	polyprenyl_synt	NM_004837	d1uby__	2.5.1.1				
202322_s_at		C79210_rc_s_at	IPB000092	IPR000092	9453	ENSG00000152904	GGPP_MOUSE	Hs.55498	4758430		polyprenyl_synt	NM_004837	d1uby__	2.5.1.1				
202323_s_at	AI636775	1452137_at	PR00049	IPR000582	64746	ENSG00000163048	Q9H3P7	Hs.6831	10438061	606809	ACBP	NM_022735						
202324_s_at		112786_i_at	PR00049	IPR000582	64746	ENSG00000163048	Q9H3P7	Hs.6831	10438061		ACBP	NM_022735						
202325_s_at		1416143_at			522	ENSG00000154723	ATPR_RAT	Hs.73851	183786			NM_001685		3.6.1.14	MAP00230			
202326_at		rc_AI060211_at	IPB001990	IPR002110	10919	ENSG00000137324	Q14349	Hs.75196	15917538		SET	NM_006709.1	d1ihba_	3.5.1.2				
202327_s_at	AA020938	rc_AI145343_at	PR00019	IPR000203	59286	ENSG00000130808	Q925J2	Hs.13836	13236510	606849	ubiquitin	NM_000296	d1b4ra_	3.4.21.50				
202328_s_at		U70209_s_at	PR00019	IPR003591	5310	ENSG00000008710	Q925J2	Hs.75813	4505833		PLAT	NM_000296	d1b4ra_	3.4.21.50				
202329_at		1369957_at	IPB003961	IPR001452	1445	ENSG00000103653	CSK_RAT	Hs.77793	17390931		SH2	NM_004383	d1jwoa_	2.7.1.112		Csk		
202330_s_at		202330_s_at	IPB002043	IPR005122	7374	ENSG00000076248	Q93028	Hs.78853	19718751		UDG	NM_003362.1	d3euga_	3.2.2				
202331_at		rc_AI169154_at	IPB001017	IPR001017	593	ENSG00000142046	Q99L69	Hs.433307	8176547		E1_dehydrog	NM_000709	d1dtwa1	2.2.1.3	MAP00280			
202332_at		w30059_s_at	IPB000959	IPR002290	1454		Q9JJ76	Hs.79658	13928846		pkinase	NM_001894	d1ckia_			CKId		
202333_s_at	AA877765	1460132_at	IPB000608	IPR000608	7320	ENSG00000119048	UBCA_HUMAN	Hs.811	12847438	179095	UQ_con	NM_003337	d2aak__	6.3.2.19				
202334_s_at	AA877765	M62388_at	IPB000608	IPR000608	7320	ENSG00000119048	Q9VN70	Hs.811	12847438		UQ_con	NM_003337	d2aak__	6.3.2.19				
202335_s_at		1460132_at	IPB000608	IPR000608	7320	ENSG00000119048	Q9D0J6	Hs.811	12847438		UQ_con	NM_003337	d2aak__	6.3.2.19				
202336_s_at		rc_AI228068_f_at	IPB001258	IPR002086	5066	ENSG00000145730	O43211	Hs.83920	21070980		Cu2_monoox_C	NM_138766	d1phm_1	3.1.1.17				
202337_at		1438173_x_at	IPB003743		11243	ENSG00000160783	Q9UBQ3	Hs.94446	12851284			NM_007221						
202338_at		m19438_s_at	IPB001267	IPR001267	7083	ENSG00000167900	KITH_MOUSE	Hs.105097	23503074		TK	NM_003258		2.7.1.21	MAP00240			
202339_at		rc_AI236089_at			8189	ENSG00000125755	Q92797	Hs.107019	20987575			NM_004819						
202340_x_at		x16995_s_at	IPB002889	IPR003071	3164		O42556	Hs.1119	21361342		hormone_rec	NM_173157	d1fcya_					
202341_s_at	AA149745	138127_at	PR01406	IPR003649	23321	ENSG00000109654	Q9C040	Hs.12372	13446227		Filamin	NM_015271	d1qfha1	3.1.1.17				
202342_s_at		107310_at	PR01406	IPR003649	23321	ENSG00000109654	TRM2_HUMAN	Hs.12372	13446227		NHL	NM_015271	d1qfha1	3.1.1.17				
202343_x_at		Msa.583.0_f_at	IPB002124	IPR002124	1329	ENSG00000135940	COXB_HUMAN	Hs.1342	17017988		COX5B	NM_001862		1.9.3.1	MAP00190			
202344_at		1424622_at	IPB000232	IPR000232	3297	ENSG00000167691	AAH14638	Hs.380935	5031767		HSF_DNA-bind	NM_005526	d1hks__					
202345_s_at		202345_s_at	PR00456	IPR000566	6181		P05387	Hs.153179	13385524		60s_ribosomal	NM_001004						
202346_at		1417187_at	IPB000449	IPR000608	3093	ENSG00000078140	Q9Y2D3	Hs.155485	4885417		UBA	NM_005339	d1fzya_	6.3.2.19				
202347_s_at	AB022435.1	92548_g_at	IPB000449	IPR000608	3093	ENSG00000078140	UBC1_HUMAN	Hs.155485	4885417		UBA	NM_005339	d1fzya_	6.3.2.19				
202348_s_at	BC000674.1	rc_AA963297_at		IPR001270	1861	ENSG00000136827	TO1A_MOUSE	Hs.19261	12653777			NM_000113	d1e32a2					
202349_at		rc_AA963297_at		IPR001270	1861	ENSG00000136827	TO1A_HUMAN	Hs.19261	12653777			NM_000113	d1e32a2					
202350_s_at		202350_s_at	PR00010	IPR002035	4147	ENSG00000132561	Q96FT5	Hs.19368	14714613		EGF	NM_002380.2	d1emo_1					
202351_at	AI093579	U14135_s_at	IPB000413	IPR002048	3685	ENSG00000138448	ITAV_MOUSE	Hs.295726	4504763	193210	integrin_A	NM_002210	d1jv2a4	3.1.4.50				
202352_s_at	AI446530	rc_AA943402_at		IPR000717	5718	ENSG00000141328	Q9CYB3	Hs.4295	13385384	604450	PCI	NM_002816						
202353_s_at		aa571353_at		IPR000717	5718	ENSG00000141328	PSDC_MOUSE	Hs.4295	13385384		PCI	NM_002816						
202354_s_at	AW190445	103762_at	IPB001422		2962	ENSG00000125651	T2FA_HUMAN	Hs.68257	12652739	189968		NM_002096	d1i27a_					
202355_s_at	BC000120.1	aa154593_s_at	IPB001422		2962	ENSG00000125651	T2FA_HUMAN	Hs.68257	12652739			NM_002096	d1i27a_					
202356_s_at		108354_at	IPB001422		2962	ENSG00000125651	Q9BWN0	Hs.68257	12652739			NM_002096	d1f3ub_					
202357_s_at		rc_AI010033_at	IPB000126	IPR001314	629	ENSG00000166285	Q96HX6	Hs.69771	4502397		sushi	NM_001710	d3gcta_	3.4.21.47				
202358_s_at	BG434168	1427078_at	IPB001683	IPR003114	9795	ENSG00000120451	SNXJ_HUMAN	Hs.76906	22749591		PX	NM_014758						
202359_s_at		202359_s_at	IPB001683	IPR003114	9795	ENSG00000120451	AAH31620	Hs.76906	22749591		PX	NM_014758						
202360_at		202360_at	IPB002360		9794	ENSG00000161021	Q92585	Hs.76986	6979930			NM_014757						
202361_at		aa175517_s_at	PR00597	IPR001974	9632	ENSG00000148571	Q8WV25	Hs.81964	17511944		Gelsolin	NM_004922						
202362_at		rc_AA866391_at	PR00318	IPR005225	5906	ENSG00000116473	Q14971	Hs.865	2134447		ras	NM_002884	d1c1ya_					
202363_at	AF231124.1	202363_at	IPB001999	IPR002350	6695	ENSG00000152377	O60400	Hs.93029	21265163		kazal	NM_004598	d1sra__					
202364_at		u24674_s_at	IPB003015	IPR001092	4601	ENSG00000119950	AAH35128	Hs.118630	18641368		HLH	NM_005962.1						
202365_at	BC004815.1	202365_at			84747		Q9BST3	Hs.127610	14249218			NM_032661						
202366_at		L11163_s_at	IPB002655	IPR006092	35	ENSG00000122971	ACDS_RAT	Hs.348900	19684166		Acyl-CoA_dh_M	NM_000017	d1jqia2	1.3.99.2	MAP00280			
202367_at		1437686_x_at	IPB000533	IPR003350	1523		Q13948	Hs.147049	19343976			NM_001913						
202368_s_at	AI986461	202368_s_at		IPR005547	9697	ENSG00000065308	Q15035	Hs.153954	18875432		LAG1	NM_012288						
202369_s_at		202369_s_at		IPR005547	9697	ENSG00000065308	Q96FS0	Hs.153954	18875432		LAG1	NM_012288						
202370_s_at		rc_AA874924_at	IPB003417	IPR003417	865	ENSG00000067955	Q98U16	Hs.179881	11612483		CBF_beta	NM_001755	d1io4d_					
202371_at		202371_at			79921	ENSG00000133142	Q8WY12	Hs.194329	12006223			NM_024863						
202372_at	BF240652	rc_AI104251_at			25782	ENSG00000118873	Q9UFJ7	Hs.197289	19923790			NM_012414						
202373_s_at	AF255648.1	rc_AI104251_at			25782	ENSG00000118873	Q9UFJ7	Hs.197289	19923790			NM_012414						
202374_s_at		rc_AI104251_at			25782	ENSG00000118873	Q9H2M9	Hs.197289	19923790			NM_012414						
202375_at		1426972_at	IPB000885		9871	ENSG00000150961	O94855	Hs.19822	23273494		Sec23_Sec24	NM_014822						
202376_at		D00753_at	IPB000215	IPR000215	12	ENSG00000170001	Q91WP6	Hs.234726	4501843		serpin	NM_001085	d1qmna_					
202377_at	AW026535	u42467_s_at			54741	ENSG00000116678	Q9BW48	Hs.23581	8923785		Vps55	NM_017526						
202378_s_at		u42467_s_at			54741	ENSG00000116678	Q9BW48	Hs.23581	8923785		Vps55	NM_017526						
202379_s_at	AI361805	106286_at	IPB000221	IPR002130	4820	ENSG00000114857	P30414	Hs.432885	423009	161565	pro_isomerase	NM_005385	d1a58__					
202380_s_at		rc_AI070408_at	IPB000221	IPR002130	4820	ENSG00000114857	NKCR_HUMAN	Hs.432885	423009		pro_isomerase	NM_005385	d1a58__					
202381_at		202381_at	IPB000130	IPR006025	8754	ENSG00000168615	Q61072	Hs.2442	4501915		Pep_M12B_propep	NM_003816	d1atla_	3.4.24.52				
202382_s_at		rc_AI008638_at	IPB000457	IPR006148	10007	ENSG00000113552	Q9D457	Hs.278500	13027378		Glucosamine_iso	NM_005471	d1d9ta_	5.3.1.10				
202383_at		1426498_at	IPB001606	IPR003349	8242	ENSG00000126012	Q9R039	Hs.283429	11321605		jmjN	NM_004187	d1ig6a_					
202384_s_at	NM_000356.1	202384_s_at	PR01503	IPR003993	6949	ENSG00000070814	TCOF_HUMAN	Hs.301266	1778432		treacle	NM_000356						
202385_s_at		u81030_s_at	PR01503	IPR003993	6949	ENSG00000070814	Q13428	Hs.301266	1778432		treacle	NM_000356						
202386_s_at		202386_s_at				ENSG00000166783	Q9Y4F3	Hs.432741				NM_019081.1						
202387_at		160540_at	IPB000626	IPR003103	573	ENSG00000107262	Q8WX32	Hs.41714	3523107		BAG	NM_004323	d1hx1b_					
202388_at		1447830_s_at	PR01301	IPR000342	5997	ENSG00000116741	Q9JL24	Hs.78944	16758194		RGS	NM_002923	d1agre_					
202389_s_at	L12392.1	l23312_s_at	PR00049	IPR002965	3064	ENSG00000125387	O42269	Hs.79391	4586876		Huntingtin	NM_002111						
202390_s_at		102927_s_at	PR00049	IPR002965	3064	ENSG00000125387	HD_RAT	Hs.79391	4586876		Huntingtin	NM_002111						
202391_at		rc_AI009426_at	IPB001359		10409	ENSG00000171292	P80723	Hs.79516	20540162			NM_006317						
202392_s_at		115188_at	IPB003817	IPR003817	23761	ENSG00000100141	Q96GQ2	Hs.8128	13489112		PS_Dcarbxylase	NM_014338		4.1.1.65	MAP00260			
202393_s_at		Z36270_s_at	IPB000822	IPR002965	7071	ENSG00000155090	Q13118	Hs.82173	2135060		zf-C2H2	NM_005655						
202394_s_at		202394_s_at	IPB001140	IPR003593	55324	ENSG00000161204	Q9H7A8	Hs.91251	14328089		ABC_tran	NM_018358						
202395_at		1372528_at	PR00918	IPR004201	4905	ENSG00000073969	Q96D47	Hs.108802	11079228		AAA	NM_006178	d1d2na_	3.4.21.53				
202396_at		1450100_a_at	IPB002360	IPR002713	10915	ENSG00000113649	O14776	Hs.13063	21327715		WW	NM_006706	d1e0la_					
202397_at		1449017_at	IPB002075	IPR003019	10204	ENSG00000102898	NTF2_HUMAN	Hs.151734	2780953		NTF2	NM_005796	d1ouna_					
202398_at	BC002785.1	94388_at	IPB000804	IPR000804	10239	ENSG00000157823	Q9SVL3	Hs.154782	4502861		Clat_adaptor_s	NM_005829						
202399_s_at		202399_s_at	IPB000804	IPR000804	10239	ENSG00000157823	Q99589	Hs.154782	4502861		Clat_adaptor_s	NM_005829						
202400_s_at	AI188786	1385512_at	IPB002889	IPR005829	6722	ENSG00000112658	Q9YH93	Hs.155321	10048414	600589	SRF-TF	NM_003131	d1srsa_					
202401_s_at		1378322_at	IPB002889	IPR005829	6722	ENSG00000112658	Q9JM73	Hs.155321	10048414		SRF-TF	NM_003131	d1srsa_					
202402_s_at		Msa.4016.0_s_at	IPB001978	IPR002308	833		O88303	Hs.159604	10835051		tRNA-synt_1e	NM_001751	d1a8h_2	6.1.1.16	MAP00970			
202403_s_at	AA788711	rc_AI101443_s_at	IPB001442	IPR000885	1278	ENSG00000164692	Q90YJ0	Hs.179573	2735715	120160	Collagen	NM_000089						
202404_s_at		rc_AI102951_at	IPB001442	IPR000885	1278	ENSG00000164692	Q9UML5	Hs.179573	2735715		Collagen	NM_000089						
202405_at	BF432532	1455675_a_at	IPB002004	IPR000504	7073	ENSG00000151923	TIAR_HUMAN	Hs.182741	13435394	603413	rrm	NM_003252	d1cvja1					
202406_s_at		1455675_a_at	IPB002004	IPR000504	7073	ENSG00000151923	TIAR_HUMAN	Hs.182741	14714709		rrm	NM_003252	d1hd1a_					
202407_s_at	BF342707	170956_at	IPB002687	IPR002687	26121	ENSG00000105618	Q9Y439	Hs.183438	18249847	600138	Nop	NM_015629						
202408_s_at		rc_AI237143_at	IPB002687	IPR002687	26121	ENSG00000105618	Q8WWY3	Hs.183438	18249847		Nop	NM_015629						
202409_at	X07868	202409_at					Q63265	Hs.251664										
202410_x_at		1371206_a_at	IPB000739	IPR004825	3481	ENSG00000167244	P78449	Hs.349109	2135482		Insulin	NM_000612	d1imxa_					
202411_at		AF006617_at	IPB000102		3429		P40305	Hs.278613	15930099			NM_005532						
202412_s_at	AW499935	1383710_at	IPB001394	IPR001394	7398	ENSG00000162607	Q9UNJ3	Hs.35086	12643657	603478	UCH-2	NM_003368		2.4.2.29				
202413_s_at		rc_AA926022_at	IPB001394	IPR001394	7398	ENSG00000162607	Q9UFR0	Hs.35086	12643657		UCH-1	NM_003368		2.4.2.29				
202414_at		1450935_at	IPB001532	IPR006086	2073	ENSG00000134899	P28715	Hs.48576	21619256		XPG_I	NM_000123	d1b43a2					
202415_s_at		aa178722_s_at			23640	ENSG00000133265	Q9JLF4	Hs.53066	21361407			NM_012267						
202416_at		202416_at	IPB001623	IPR001623	7266	ENSG00000168259	Q99615	Hs.5542	23274003		DnaJ	NM_003315	d1gh6a_	2.1.1.80				
202417_at		rc_AI231764_at	PR00501	IPR001798	9817	ENSG00000079999	Q96CN1	Hs.57729	13431631		BTB	NM_012289	d1k3ia3	1.1.3.9				
202418_at		99675_at		IPR005578	10897	ENSG00000174851	Q91XB7	Hs.406422	22062544		Hrf1	NM_020470						
202419_at		rc_AI178446_at	IPB002198	IPR002198	2531	ENSG00000119537	Q06136	Hs.74050	23271473		adh_short	NM_002035	d1gega_	1.3.1.9				
202420_s_at		rc_AA925004_at	IPB002464	IPR002464	1660	ENSG00000135829	Q08211	Hs.74578	3915658		dsrm	NM_001357	d1hv8a1					
202421_at	AB007935.1	202421_at	IPB001422	IPR003599	3321	ENSG00000143061	O75054	Hs.81234	14133205		ig	NM_001542						
202422_s_at		1458487_at	IPB000873	IPR000873	2182	ENSG00000068366	Q8TAF6	Hs.81452	12669909		AMP-binding	NM_022977	d1lci__	6.3.2.20	MAP00071			
202423_at		1437487_at	IPB000822	IPR002717	7994	ENSG00000083168	MOZ_HUMAN	Hs.82210	20861969		MOZ_SAS	NM_006766	d1fy7a_					
202424_at		92543_at	IPB003605	IPR002290	5605	ENSG00000126934	Q9JJE1	Hs.72241	13489054		pkinase	NM_030662	d1f3mc_	2.7.1.38		MEK2		
202425_x_at		rc_AI103095_at	IPB000934	IPR006186	5530	ENSG00000138814	Q8TAW9	Hs.272458	1352672		Metallophos	NM_000944	d1auia_	3.1.3.16				
